,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,scalar_1190579,48.314913,-126.05846499999998,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194378,48.314913,-126.05846499999998,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200642,48.314899,-126.058466,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117210,48.31507,-126.05867166670001,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_117210,48.31507,-126.05867166670001,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117633,48.315108333299996,-126.05878999999999,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_117633,48.315108333299996,-126.05878999999999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118190,48.3150666667,-126.0587733333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118190,48.3150666667,-126.0587733333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118377,48.3150866667,-126.0587533333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118377,48.3150866667,-126.0587533333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118906,48.3150066667,-126.0589583333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_118906,48.3150066667,-126.0589583333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1189310,48.31496,-126.0588333333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1189310,48.31496,-126.0588333333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190593,48.315082916666604,-126.058747083333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1190593,48.315082916666604,-126.058747083333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200128,48.345913,-126.157843,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200130,48.345913,-126.157843,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,currents_1190524,48.42689,-126.1745717,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190524,48.42689,-126.1745717,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,profile_117226,48.4272533333,-126.174095,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_117757,48.4273866667,-126.1741316667,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_118837,48.4273733333,-126.1741266667,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1190485,48.42738167,-126.174155,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1200170,48.427712833,-126.174076666,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_118840,48.4273733333,-126.1741266667,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1190483,48.42738167,-126.174155,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1200310,48.427712833,-126.174076666,,Temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_118836,48.4273733333,-126.1741266667,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1190486,48.42738167,-126.174155,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1200313,48.427712833,-126.174076666,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1190482,48.42738167,-126.174155,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1200309,48.427712833,-126.174076666,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1200315,48.427712833,-126.174076666,,temperature,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,scalar_117217,48.4270266667,-126.1749083333,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
